source_language,target_language,source_text,target_text,table_name,source_comment,weight
uk,en,Бендектин,bendectin,UTIS,http://utis.in.ua/bendectin/,3
uk,en,Бендрофлуметіазид,bendroflumetіazid,UTIS,http://utis.in.ua/%d0%b1%d0%b5%d0%bd%d0%b4%d1%80%d0%be%d1%84%d0%bb%d1%83%d0%bc%d0%b5%d1%82%d1%96%d0%b0%d0%b7%d0%b8%d0%b4/,3
uk,en,Бенемід,probenecid,UTIS,http://utis.in.ua/probenecid/,3
uk,en,Бензалконію хлорид,cresol,UTIS,http://utis.in.ua/cresol/,3
uk,en,Бензатин пеніцилін G,penicillin-g,UTIS,http://utis.in.ua/penicillin-g/,3
uk,en,Бензедрин,amfetamine,UTIS,http://utis.in.ua/amfetamine/,3
uk,en,Бензен,benzene,UTIS,http://utis.in.ua/benzene/,3
uk,en,Бензенамін,aniline,UTIS,http://utis.in.ua/aniline/,3
uk,en,Бензидамін,benzydamine,UTIS,http://utis.in.ua/benzydamine/,3
uk,en,Бензилбензоат,benzyl-benzoate,UTIS,http://utis.in.ua/benzyl-benzoate/,3
uk,en,Бензилпеніцилін ,penicillin-g,UTIS,http://utis.in.ua/penicillin-g/,3
uk,en,Бензилпеніцилін натрію,penicillin-g,UTIS,http://utis.in.ua/penicillin-g/,3
uk,en,Бензиль бензоат,benzyl-benzoate,UTIS,http://utis.in.ua/benzyl-benzoate/,3
uk,en,Бензин,gasoline,UTIS,http://utis.in.ua/gasoline/,3
uk,en,Бензоат бензиль,benzyl-benzoate,UTIS,http://utis.in.ua/benzyl-benzoate/,3
uk,en,Азиаджио,azithromycin,UTIS,http://utis.in.ua/azithromycin/,3
uk,en,Азидотимідин,zidovudine,UTIS,http://utis.in.ua/zidovudine/,3
uk,en,Азиклар,clarithromycin,UTIS,http://utis.in.ua/clarithromycin/,3
uk,en,Азилсартан,azilsartan,UTIS,http://utis.in.ua/azilsartan/,3
uk,en,Азимед,azithromycin,UTIS,http://utis.in.ua/azithromycin/,3
uk,en,Азином,azithromycin,UTIS,http://utis.in.ua/azithromycin/,3
uk,en,Азинорт,azithromycin,UTIS,http://utis.in.ua/azithromycin/,3
uk,en,Азитрогексал,azithromycin,UTIS,http://utis.in.ua/azithromycin/,3
uk,en,Азитрокс,azithromycin,UTIS,http://utis.in.ua/azithromycin/,3
uk,en,Азитроміцин,azithromycin,UTIS,http://utis.in.ua/azithromycin/,3
uk,en,Азитросандоз,azithromycin,UTIS,http://utis.in.ua/azithromycin/,3
uk,en,Азівок,azithromycin,UTIS,http://utis.in.ua/azithromycin/,3
uk,en,Азійська кислота,asiatic-acid,UTIS,http://utis.in.ua/asiatic-acid/,3
uk,en,Азійський щитолисник,asiatic-acid,UTIS,http://utis.in.ua/asiatic-acid/,3
