"url","title","source","language","page_name","title_latin_name","title_latin_name_has_ampersand","title_latin_name_has_asterisk","title_ru_name"
"https://compendium.com.ua/akt/68/139789/degarelix/","ДЕГАРЕЛИКС (DEGARELIX)","compendium.com.ua","ru","degarelix","degarelix",False,False,"дегареликс"
"https://compendium.com.ua/akt/68/40218/desloratadinum/","ДЕЗЛОРАТАДИН (DESLORATADINUM)","compendium.com.ua","ru","desloratadinum","desloratadinum",False,False,"дезлоратадин"
"https://compendium.com.ua/akt/68/321/desogestrelum/","ДЕЗОГЕСТРЕЛ (DESOGESTRELUM)","compendium.com.ua","ru","desogestrelum","desogestrelum",False,False,"дезогестрел"
"https://compendium.com.ua/akt/68/610/decametoxinum/","ДЕКАМЕТОКСИН* (DECAMETOXINUM*)","compendium.com.ua","ru","decametoxinum","decametoxinum",False,True,"декаметоксин"
"https://compendium.com.ua/akt/90/72477/zaleplonum/","ЗАЛЕПЛОН (ZALEPLONUM)","compendium.com.ua","ru","zaleplonum","zaleplonum",False,False,"залеплон"
"https://compendium.com.ua/akt/72/124/hypericum-perforatum/","ЗВЕРОБОЙ ПРОДЫРЯВЛЕННЫЙ* (HYPERICUM PERFORATUM*)","compendium.com.ua","ru","hypericum-perforatum","hypericum perforatum",False,True,"зверобой продырявленный"
"https://compendium.com.ua/akt/90/3142/zidovudinum/","ЗИДОВУДИН (ZIDOVUDINUM)","compendium.com.ua","ru","zidovudinum","zidovudinum",False,False,"зидовудин"
"https://compendium.com.ua/akt/90/72478/ziprasidonum/","ЗИПРАЗИДОН (ZIPRASIDONUM)","compendium.com.ua","ru","ziprasidonum","ziprasidonum",False,False,"зипразидон"
"https://compendium.com.ua/akt/65/35835/acidum-zoledronicum/","ЗОЛЕДРОНОВАЯ КИСЛОТА (ACIDUM ZOLEDRONICUM)","compendium.com.ua","ru","acidum-zoledronicum","acidum zoledronicum",False,False,"золедроновая кислота"
"https://compendium.com.ua/akt/90/51/zolmitriptanum/","ЗОЛМИТРИПТАН (ZOLMITRIPTANUM)","compendium.com.ua","ru","zolmitriptanum","zolmitriptanum",False,False,"золмитриптан"
"https://compendium.com.ua/akt/83/856100/solidago-virgaurea/","ЗОЛОТАРНИК ОБЫКНОВЕННЫЙ&amp; (SOLIDAGO VIRGAUREA&amp;)","compendium.com.ua","ru","solidago-virgaurea","solidago virgaurea&amp;",False,False,"золотарник обыкновенный&amp;"
