"url","title","source","language","page_name","title_latin_name","title_latin_name_has_asterisk","title_uk_name"
"https://compendium.com.ua/uk/akt/73/3129/isotretinoinum/","ІЗОТРЕТИНОЇН (ISOTRETINOINUM)","compendium.com.ua","uk","isotretinoinum","ISOTRETINOINUM",False,"ІЗОТРЕТИНОЇН"
"https://compendium.com.ua/uk/akt/73/80619/iloprostum/","ІЛОПРОСТ (ILOPROSTUM)","compendium.com.ua","uk","iloprostum","ILOPROSTUM",False,"ІЛОПРОСТ"
"https://compendium.com.ua/uk/akt/73/38107/imatinibum/","ІМАТИНІБ (IMATINIBUM)","compendium.com.ua","uk","imatinibum","IMATINIBUM",False,"ІМАТИНІБ"
"https://compendium.com.ua/uk/akt/73/54850/imiglucerasum/","ІМІГЛЮЦЕРАЗА (IMIGLUCERASUM)","compendium.com.ua","uk","imiglucerasum","IMIGLUCERASUM",False,"ІМІГЛЮЦЕРАЗА"
"https://compendium.com.ua/uk/akt/80/673235/pentanedioic-acid-imidazolyl-ethanamide/","ІМІДАЗОЛІЛЕТАНАМІД ПЕНТАНДІОВОЇ КИСЛОТИ (PENTANEDIOIC ACID IMIDAZOLYL ETHANAMIDE)","compendium.com.ua","uk","pentanedioic-acid-imidazolyl-ethanamide","PENTANEDIOIC ACID IMIDAZOLYL ETHANAMIDE",False,"ІМІДАЗОЛІЛЕТАНАМІД ПЕНТАНДІОВОЇ КИСЛОТИ"
"https://compendium.com.ua/uk/akt/73/169360/imiquimodum/","ІМІКВІМОД (IMIQUIMODUM)","compendium.com.ua","uk","imiquimodum","IMIQUIMODUM",False,"ІМІКВІМОД"
"https://compendium.com.ua/uk/akt/73/3127/imipraminum/","ІМІПРАМІН (IMIPRAMINUM)","compendium.com.ua","uk","imipraminum","IMIPRAMINUM",False,"ІМІПРАМІН"
"https://compendium.com.ua/uk/akt/73/359/immunoglobulinum-humanum/","ІМУНОГЛОБУЛІН ЛЮДСЬКИЙ* (IMMUNOGLOBULINUM HUMANUM*)","compendium.com.ua","uk","immunoglobulinum-humanum","IMMUNOGLOBULINUM HUMANUM",True,"ІМУНОГЛОБУЛІН ЛЮДСЬКИЙ"
"https://compendium.com.ua/uk/akt/73/142095/indacaterol/","ІНДАКАТЕРОЛ (INDACATEROLUM)","compendium.com.ua","uk","indacaterol","INDACATEROLUM",False,"ІНДАКАТЕРОЛ"
"https://compendium.com.ua/uk/akt/90/72477/zaleplonum/","ЗАЛЕПЛОН (ZALEPLONUM)","compendium.com.ua","uk","zaleplonum","ZALEPLONUM",False,"ЗАЛЕПЛОН"
"https://compendium.com.ua/uk/akt/73/240932/iron-complex-dextran/","ЗАЛІЗА ДЕКСТРАНОВОГО КОМПЛЕКС* (IRON COMPLEX DEXTRAN*)","compendium.com.ua","uk","iron-complex-dextran","IRON COMPLEX DEXTRAN",True,"ЗАЛІЗА ДЕКСТРАНОВОГО КОМПЛЕКС"
"https://compendium.com.ua/uk/akt/70/3146/ferri-saccharas/","ЗАЛІЗА САХАРАТ* (FERRI SACCHARAS*)","compendium.com.ua","uk","ferri-saccharas","FERRI SACCHARAS",True,"ЗАЛІЗА САХАРАТ"
"https://compendium.com.ua/uk/akt/70/1156/ferri-sulfas/","ЗАЛІЗА СУЛЬФАТ* (FERRI SULFAS*)","compendium.com.ua","uk","ferri-sulfas","FERRI SULFAS",True,"ЗАЛІЗА СУЛЬФАТ"
"https://compendium.com.ua/uk/akt/70/3145/ferri-fumaras/","ЗАЛІЗА ФУМАРАТ* (FERRI FUMARAS*)","compendium.com.ua","uk","ferri-fumaras","FERRI FUMARAS",True,"ЗАЛІЗА ФУМАРАТ"
"https://compendium.com.ua/uk/akt/90/33050/zanamivirum/","ЗАНАМІВІР (ZANAMIVIRUM)","compendium.com.ua","uk","zanamivirum","ZANAMIVIRUM",False,"ЗАНАМІВІР"
"https://compendium.com.ua/uk/akt/72/124/hypericum-perforatum/","ЗВІРОБІЙ ЗВИЧАЙНИЙ*& (HYPERICUM PERFORATUM*&)","compendium.com.ua","uk","hypericum-perforatum","HYPERICUM PERFORATUM*&",False,"ЗВІРОБІЙ ЗВИЧАЙНИЙ*&"
"https://compendium.com.ua/uk/akt/90/3142/zidovudinum/","ЗИДОВУДИН (ZIDOVUDINUM)","compendium.com.ua","uk","zidovudinum","ZIDOVUDINUM",False,"ЗИДОВУДИН"
"https://compendium.com.ua/uk/akt/90/72478/ziprasidonum/","ЗИПРАЗИДОН (ZIPRASIDONUM)","compendium.com.ua","uk","ziprasidonum","ZIPRASIDONUM",False,"ЗИПРАЗИДОН"
"https://compendium.com.ua/uk/akt/65/35835/acidum-zoledronicum/","ЗОЛЕДРОНОВА КИСЛОТА (ACIDUM ZOLEDRONICUM)","compendium.com.ua","uk","acidum-zoledronicum","ACIDUM ZOLEDRONICUM",False,"ЗОЛЕДРОНОВА КИСЛОТА"
"https://compendium.com.ua/uk/akt/90/51/zolmitriptanum/","ЗОЛМІТРИПТАН (ZOLMITRIPTANUM)","compendium.com.ua","uk","zolmitriptanum","ZOLMITRIPTANUM",False,"ЗОЛМІТРИПТАН"
